"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.018280029E0,1.565704346E1,1.273803711E1,-1.809997559E1
3.038269043E0,1.565704346E1,1.273803711E1,-1.809997559E1
3.058258057E0,1.638946533E1,1.343688965E1,-1.739654541E1
3.078582764E0,1.708526611E1,1.065673828E1,-1.807403564E1
3.098449707E0,1.708526611E1,1.065673828E1,-1.807403564E1
3.118255615E0,1.854248047E1,1.065979004E1,-1.664733887E1
3.138214111E0,1.850738525E1,9.274291992E0,-1.877136230E1
3.158203125E0,1.851654053E1,7.876586914E0,-1.732482910E1
3.178192139E0,1.636810303E1,9.954833984E0,-1.734924316E1
3.198181152E0,1.668090820E1,1.047210693E1,-2.079162598E1
3.218200684E0,1.451568604E1,1.115875244E1,-2.151184082E1
3.238159180E0,1.452941895E1,1.185302734E1,-2.080688477E1
3.258422852E0,1.596527100E1,1.116485596E1,-2.079925537E1
3.278167725E0,1.595153809E1,1.047058105E1,-2.150421143E1
3.298187256E0,1.452484131E1,1.115722656E1,-2.079772949E1
3.318115234E0,1.380462646E1,9.757995605E0,-2.006378174E1
3.338134766E0,1.543731689E1,1.562500000E1,-1.875610352E1
3.358093262E0,1.615753174E1,1.423339844E1,-1.802368164E1
3.378082275E0,1.544189453E1,1.492614746E1,-1.803283691E1
3.398071289E0,1.617584229E1,1.422882080E1,-1.659545898E1
3.418395996E0,1.400604248E1,1.701049805E1,-1.877288818E1
3.438049317E0,1.472167969E1,1.631774902E1,-1.876525879E1
3.458038330E0,1.255187988E1,1.631011963E1,-1.947631836E1
3.478027344E0,1.472167969E1,1.492309570E1,-1.803131104E1
3.498077393E0,1.400604248E1,1.701049805E1,-1.877288818E1
3.518005371E0,1.526184082E1,1.414337158E1,-1.797180176E1
3.537994385E0,1.452484131E1,1.274871826E1,-1.866760254E1
3.557983399E0,1.452026367E1,1.344757080E1,-1.939086914E1
3.578460693E0,1.526184082E1,1.414337158E1,-1.797180176E1
3.598083496E0,1.383361816E1,1.483001709E1,-1.726531982E1
3.617980957E0,1.235504150E1,1.273956299E1,-1.937866211E1
3.637969971E0,1.455535889E1,1.483306885E1,-1.726684570E1
3.657928467E0,1.455535889E1,1.343841553E1,-1.653289795E1
3.677917481E0,1.601562500E1,1.317901611E1,-1.860504150E1
3.697906494E0,1.599884033E1,1.178894043E1,-1.929931641E1
3.717895508E0,1.674346924E1,1.457672119E1,-1.862335205E1
3.738220215E0,1.529998779E1,1.247711182E1,-1.788024902E1
3.758056641E0,1.674499512E1,1.318054199E1,-1.789093018E1
3.777893067E0,1.530761719E1,1.387023926E1,-1.789855957E1
3.797882080E0,1.388549805E1,1.385803223E1,-1.646728516E1
3.817840576E0,1.603698730E1,1.247558594E1,-1.645202637E1
3.837829590E0,1.380920410E1,1.270599365E1,-1.722259521E1
3.857818604E0,1.380004883E1,1.410369873E1,-1.867065430E1
3.877807617E0,1.595611572E1,1.202239990E1,-1.793060303E1
3.898193359E0,1.454162598E1,1.340332031E1,-1.651916504E1
3.918060303E0,1.452941895E1,1.410522461E1,-1.795654297E1
3.937774658E0,1.524505615E1,1.201629639E1,-1.721496582E1
3.957794190E0,1.382141113E1,1.479492188E1,-1.725158691E1
3.977752686E0,1.453704834E1,1.549835205E1,-1.797637939E1
3.997741699E0,1.512298584E1,1.486816406E1,-1.922149658E1
4.017730713E0,1.511077881E1,1.277923584E1,-1.919403076E1
4.037719727E0,1.439819336E1,1.556396484E1,-1.994476318E1
4.057708740E0,1.440277100E1,1.346893311E1,-1.848754883E1
4.078063965E0,1.582641602E1,1.348114014E1,-1.991882324E1
4.097717285E0,1.511535645E1,1.347503662E1,-1.920318604E1
4.117706299E0,1.439819336E1,1.416778564E1,-1.921081543E1
4.137725830E0,1.509399414E1,1.278381348E1,-2.062225342E1
4.157684326E0,1.708374023E1,1.308135986E1,-1.893920898E1
4.177642822E0,1.639251709E1,1.516265869E1,-1.753692627E1
4.197631836E0,1.565093994E1,1.307220459E1,-1.822357178E1
4.217620850E0,1.493530273E1,1.515960693E1,-1.896514893E1
4.238037109E0,1.490936279E1,1.237640381E1,-1.964111328E1
4.257690430E0,1.782073975E1,1.307983398E1,-1.751098633E1
4.277587891E0,1.782836914E1,1.447296143E1,-1.752929688E1
4.297576904E0,1.713104248E1,1.237030029E1,-1.464385986E1
4.317565918E0,1.851959229E1,1.239166260E1,-1.893157959E1
4.337554932E0,1.679229736E1,1.289520264E1,-1.792297363E1
4.357586869E0,1.821594238E1,1.011657715E1,-1.788787842E1
4.377545365E0,1.895294189E1,1.151123047E1,-1.719207764E1
