"Time (s)","Illuminance (lx)"
3.959943020E2,3.900000000E1
3.961971524E2,6.900000000E1
3.964000332E2,6.700000000E1
3.966028836E2,2.800000000E1
3.968057644E2,7.800000000E1
3.970085538E2,1.560000000E2
3.972117703E2,4.620000000E2
3.974142850E2,6.010000000E2
3.976171048E2,7.370000000E2
3.978200467E2,9.360000000E2
3.980228665E2,3.550000000E2
3.982258389E2,1.580000000E2
3.984285672E2,1.430000000E2
3.986314480E2,5.030000000E2
3.988343289E2,1.379000000E3
3.990371487E2,2.164000000E3
3.992400296E2,1.612000000E3
3.994428799E2,1.510000000E2
3.996460049E2,4.450000000E2
3.998485501E2,1.267000000E3
4.000514310E2,9.970000000E2
4.002542813E2,7.800000000E2
4.004571316E2,7.690000000E2
4.006601346E2,4.720000000E2
4.008628628E2,1.170000000E2
4.010656827E2,5.470000000E2
4.012685635E2,9.020000000E2
4.014714139E2,1.018000000E3
4.016742642E2,8.980000000E2
4.018771145E2,3.370000000E2
4.020803311E2,1.170000000E2
4.022828152E2,9.720000000E2
4.024856656E2,1.209000000E3
4.026887295E2,1.176000000E3
4.028913968E2,8.870000000E2
4.030943997E2,2.030000000E2
4.032970975E2,2.120000000E2
4.034999783E2,1.528000000E3
4.037028592E2,1.817000000E3
4.039056790E2,1.656000000E3
4.041085904E2,8.140000000E2
4.043114102E2,2.680000000E2
4.045145962E2,5.460000000E2
4.047171237E2,2.141000000E3
4.049200046E2,2.549000000E3
4.051228549E2,2.045000000E3
4.053257358E2,3.460000000E2
4.055287387E2,1.880000000E2
4.057314670E2,1.187000000E3
4.059343173E2,2.344000000E3
4.061371676E2,2.991000000E3
4.063400485E2,1.710000000E3
4.065429294E2,1.660000000E2
4.067457492E2,2.380000000E2
4.069489047E2,1.570000000E3
4.071515109E2,2.512000000E3
4.073543307E2,2.796000000E3
4.075572116E2,1.744000000E3
4.077600924E2,3.760000000E2
4.079629733E2,3.230000000E2
4.081657931E2,1.941000000E3
4.083686740E2,2.499000000E3
4.085715548E2,2.410000000E3
4.087744052E2,1.492000000E3
4.089772860E2,3.400000000E2
4.091801364E2,4.330000000E2
4.093832004E2,2.334000000E3
4.095858676E2,3.038000000E3
4.097887179E2,2.791000000E3
4.099915378E2,5.360000000E2
4.101944186E2,2.800000000E2
4.103973300E2,1.081000000E3
4.106001803E2,2.611000000E3
4.108033969E2,3.184000000E3
4.110058810E2,1.856000000E3
4.112087619E2,2.880000000E2
4.114116427E2,3.040000000E2
4.116144626E2,1.524000000E3
4.118174655E2,2.730000000E3
4.120202243E2,3.020000000E3
4.122230746E2,1.294000000E3
4.124259250E2,2.880000000E2
4.126288058E2,3.280000000E2
4.128316867E2,1.913000000E3
4.130345065E2,3.078000000E3
4.132376925E2,2.997000000E3
4.134402682E2,1.422000000E3
4.136431491E2,2.480000000E2
4.138459994E2,7.010000000E2
4.140488803E2,2.472000000E3
4.142517917E2,3.458000000E3
4.144546115E2,1.927000000E3
4.146578944E2,4.010000000E2
4.148603480E2,6.250000000E2
4.150631984E2,1.776000000E3
4.152660792E2,2.531000000E3
4.154689601E2,2.274000000E3
4.156719935E2,6.190000000E2
4.158746303E2,5.640000000E2
4.162803615E2,2.819000000E3
4.164832423E2,3.513000000E3
4.166861232E2,2.949000000E3
4.168889735E2,9.770000000E2
4.170921901E2,3.530000000E2
4.172947047E2,1.813000000E3
4.174975551E2,3.447000000E3
4.179032863E2,1.297000000E3
4.181062892E2,2.450000000E2
4.183090480E2,6.340000000E2
4.185118678E2,2.609000000E3
4.187147487E2,3.366000000E3
4.189176295E2,2.699000000E3
4.191204799E2,3.870000000E2
4.193233302E2,3.350000000E2
4.195264552E2,1.392000000E3
4.197290919E2,3.057000000E3
4.199319118E2,3.714000000E3
4.201347926E2,1.800000000E3
4.203376735E2,2.570000000E2
4.205405543E2,4.730000000E2
4.207433742E2,2.906000000E3
4.209466823E2,3.197000000E3
4.211491359E2,2.904000000E3
4.213519862E2,8.330000000E2
4.215548976E2,2.910000000E2
4.217578395E2,1.443000000E3
4.219607203E2,3.162000000E3
4.221635097E2,3.168000000E3
4.223663905E2,2.154000000E3
4.225692103E2,2.520000000E2
4.227721217E2,3.300000000E2
4.229750331E2,2.424000000E3
4.231779140E2,3.509000000E3
4.233809169E2,3.107000000E3
4.235836452E2,7.070000000E2
4.237865260E2,3.200000000E2
4.239893764E2,1.336000000E3
4.241922572E2,3.066000000E3
4.243951686E2,3.293000000E3
4.245980321E2,2.012000000E3
4.248011266E2,3.850000000E2
4.250037633E2,4.300000000E2
4.252066442E2,1.949000000E3
4.254095250E2,3.166000000E3
4.256124364E2,2.680000000E3
4.258153478E2,6.700000000E2
4.260181981E2,5.370000000E2
4.262212926E2,1.546000000E3
4.264239293E2,3.230000000E3
4.266268102E2,3.427000000E3
4.268296605E2,2.310000000E3
4.270325414E2,6.450000000E2
4.272356664E2,4.620000000E2
4.274382726E2,2.128000000E3
4.276414891E2,3.136000000E3
4.278440343E2,3.083000000E3
4.280469152E2,1.320000000E3
4.282497655E2,3.280000000E2
4.284526464E2,9.790000000E2
4.286555883E2,3.393000000E3
4.288584081E2,3.228000000E3
4.290616857E2,2.152000000E3
4.292641698E2,3.030000000E2
4.294670507E2,2.410000000E2
4.296699620E2,2.561000000E3
4.298728124E2,4.076000000E3
4.300757543E2,3.232000000E3
4.302785131E2,8.600000000E2
4.304813939E2,2.200000000E2
4.306842748E2,1.735000000E3
4.308871251E2,2.554000000E3
4.310900060E2,2.475000000E3
4.312930394E2,1.745000000E3
4.314959813E2,2.960000000E2
4.316985875E2,3.370000000E2
4.319014379E2,2.530000000E3
4.321043187E2,3.385000000E3
4.323071386E2,2.782000000E3
4.325100499E2,5.790000000E2
4.327129003E2,2.990000000E2
4.329161168E2,8.600000000E2
4.331186010E2,2.831000000E3
4.333214818E2,2.848000000E3
4.335243932E2,1.239000000E3
4.337272130E2,3.960000000E2
4.339302159E2,4.450000000E2
4.341329747E2,1.784000000E3
4.343358556E2,2.617000000E3
4.345386754E2,2.127000000E3
4.347415594E2,4.800000000E2
4.349444403E2,5.330000000E2
4.351472906E2,9.110000000E2
4.353503851E2,2.200000000E3
4.355530218E2,2.155000000E3
4.357558722E2,6.370000000E2
4.359587225E2,5.130000000E2
4.361616034E2,4.270000000E2
4.363645147E2,1.035000000E3
4.365673651E2,1.384000000E3
4.367705816E2,9.450000000E2
4.369730963E2,3.020000000E2
4.371759466E2,5.330000000E2
4.373787970E2,4.730000000E2
4.375817083E2,9.300000000E2
4.377846808E2,1.052000000E3
4.379873785E2,6.250000000E2
4.381902289E2,3.260000000E2
4.383931402E2,3.890000000E2
4.385959295E2,8.640000000E2
4.387988104E2,1.233000000E3
4.390016607E2,1.139000000E3
4.392048468E2,1.003000000E3
4.394073614E2,3.350000000E2
4.396102118E2,5.140000000E2
4.398130926E2,1.320000000E3
4.400159124E2,1.630000000E3
4.402189154E2,1.088000000E3
4.404216436E2,3.900000000E2
4.406245245E2,3.360000000E2
