"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.159965268E2,5.233074927E1,4.869025040E0,-3.644569275E2,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.169880183E2,5.233074929E1,4.869025050E0,-3.644568665E2,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.179974445E2,5.233074931E1,4.869025060E0,-3.644568665E2,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.189923610E2,5.233074933E1,4.869025060E0,-3.644568665E2,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.199848132E2,5.233074934E1,4.869025070E0,-3.644568359E2,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.209879321E2,5.233074916E1,4.869025010E0,-3.629359314E2,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.219898213E2,5.233074611E1,4.869024120E0,-3.401095154E2,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
1.229928892E2,5.233074367E1,4.869023400E0,-3.401074097E2,0.000000000E0,0.000000000E0,6.110400009E1,0.000000000E0
1.239888464E2,5.233075090E1,4.869018290E0,-3.876339905E2,0.000000000E0,0.000000000E0,6.110400009E1,0.000000000E0
1.249950723E2,5.233075477E1,4.869016220E0,-3.873756897E2,0.000000000E0,0.000000000E0,6.110400009E1,0.000000000E0
1.259959277E2,5.233075989E1,4.869009980E0,-3.870673706E2,0.000000000E0,0.000000000E0,6.110400009E1,0.000000000E0
1.269914932E2,5.233076399E1,4.869004990E0,-3.870681030E2,0.000000000E0,0.000000000E0,6.110400009E1,0.000000000E0
1.279938988E2,5.233076841E1,4.868968740E0,-3.885806763E2,0.000000000E0,0.000000000E0,6.110400009E1,0.000000000E0
1.289940754E2,5.233077278E1,4.868940540E0,-3.874581482E2,0.000000000E0,0.000000000E0,6.110400009E1,0.000000000E0
1.299937623E2,5.233077628E1,4.868917970E0,-3.874591553E2,0.000000000E0,0.000000000E0,6.110400009E1,0.000000000E0
1.309881060E2,5.233077907E1,4.868899920E0,-3.874618713E2,0.000000000E0,0.000000000E0,6.217600250E1,0.000000000E0
