sensor_type,device_type,timestamps,illuminance
light,smartphone,1529416851737981184,715.0
light,smartphone,1529416851940953088,783.0
light,smartphone,1529416852143773184,567.0
light,smartphone,1529416852347356160,367.0
light,smartphone,1529416852549504256,368.0
light,smartphone,1529416852752385024,422.0
light,smartphone,1529416852955296256,616.0
light,smartphone,1529416853158147328,606.0
light,smartphone,1529416853361119232,343.0
light,smartphone,1529416853563939328,275.0
light,smartphone,1529416853767247104,272.0
light,smartphone,1529416853969731328,285.0
light,smartphone,1529416854172612096,354.0
light,smartphone,1529416854375554304,282.0
light,smartphone,1529416854578404096,143.0
light,smartphone,1529416854781285120,133.0
light,smartphone,1529416854984165888,157.0
light,smartphone,1529416855187412992,276.0
light,smartphone,1529416855389928192,234.0
light,smartphone,1529416855592839168,124.0
light,smartphone,1529416855795750912,122.0
light,smartphone,1529416855998631168,99.0
light,smartphone,1529416856201604096,200.0
light,smartphone,1529416856404668160,231.0
light,smartphone,1529416856607610112,180.0
light,smartphone,1529416856810155008,166.0
light,smartphone,1529416857013036032,154.0
light,smartphone,1529416857215917056,248.0
light,smartphone,1529416857418797056,364.0
light,smartphone,1529416857621709312,285.0
light,smartphone,1529416858027839744,234.0
light,smartphone,1529416858230324992,267.0
light,smartphone,1529416858433175040,399.0
light,smartphone,1529416858636024832,305.0
light,smartphone,1529416858838906112,208.0
light,smartphone,1529416859041939968,209.0
light,smartphone,1529416859244636928,235.0
light,smartphone,1529416859447517952,331.0
light,smartphone,1529416859650369024,262.0
light,smartphone,1529416859853249024,189.0
light,smartphone,1529416860056129792,186.0
light,smartphone,1529416860258980864,229.0
light,smartphone,1529416860462136064,385.0
light,smartphone,1529416860664772864,373.0
light,smartphone,1529416860867623168,304.0
light,smartphone,1529416861070534912,268.0
light,smartphone,1529416861273414912,350.0
light,smartphone,1529416861476295936,506.0
light,smartphone,1529416861679176960,437.0
light,smartphone,1529416861882332928,321.0
light,smartphone,1529416862084939008,252.0
light,smartphone,1529416862287849728,264.0
light,smartphone,1529416862490761984,352.0
light,smartphone,1529416862693672960,314.0
light,smartphone,1529416862896553984,218.0
light,smartphone,1529416863099435008,225.0
light,smartphone,1529416863302468096,334.0
light,smartphone,1529416863505166080,501.0
light,smartphone,1529416863708046848,400.0
light,smartphone,1529416863910927872,270.0
light,smartphone,1529416864113838848,250.0
light,smartphone,1529416864316719872,378.0
light,smartphone,1529416864519570176,442.0
light,smartphone,1529416864722664960,235.0
light,smartphone,1529416864925300992,224.0
light,smartphone,1529416865128181760,190.0
light,smartphone,1529416865331063040,335.0
light,smartphone,1529416865533973760,430.0
light,smartphone,1529416865736824832,326.0
light,smartphone,1529416865939675136,316.0
light,smartphone,1529416866142800128,339.0
light,smartphone,1529416866345436928,546.0
light,smartphone,1529416866548317952,531.0
light,smartphone,1529416866751228928,330.0
light,smartphone,1529416866954078976,290.0
light,smartphone,1529416867156990976,354.0
light,smartphone,1529416867359872000,440.0
light,smartphone,1529416867562996992,381.0
light,smartphone,1529416867765664000,243.0
light,smartphone,1529416867968506112,194.0
light,smartphone,1529416868171386880,296.0
light,smartphone,1529416868374268160,615.0
light,smartphone,1529416868577209856,701.0
light,smartphone,1529416868780028928,508.0
light,smartphone,1529416868983154176,416.0
light,smartphone,1529416869185790976,638.0
light,smartphone,1529416869388642048,853.0
light,smartphone,1529416869591553024,668.0
light,smartphone,1529416869794403072,421.0
light,smartphone,1529416869997528064,445.0
light,smartphone,1529416870200165120,586.0
light,smartphone,1529416870403351040,570.0
light,smartphone,1529416870605895936,480.0
light,smartphone,1529416870808745984,364.0
light,smartphone,1529416871011657984,412.0
light,smartphone,1529416871214478080,707.0
light,smartphone,1529416871417420032,839.0
light,smartphone,1529416871620239104,597.0
light,smartphone,1529416871823517184,389.0
light,smartphone,1529416872025939968,477.0
light,smartphone,1529416872228820992,688.0
light,smartphone,1529416872431702016,591.0
light,smartphone,1529416872634552064,357.0
light,smartphone,1529416872837554944,364.0
light,smartphone,1529416873040282880,449.0
light,smartphone,1529416873243102976,605.0
light,smartphone,1529416873445984000,542.0
light,smartphone,1529416873648865024,380.0
light,smartphone,1529416873851746048,318.0
light,smartphone,1529416874054565888,535.0
light,smartphone,1529416874257752064,586.0
light,smartphone,1529416874460357888,464.0
light,smartphone,1529416874663207936,253.0
light,smartphone,1529416874866089216,250.0
light,smartphone,1529416875068969984,471.0
light,smartphone,1529416875271851008,567.0
light,smartphone,1529416875474670848,558.0
light,smartphone,1529416875677886976,316.0
