,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,light_illuminance,loc_latitude,loc_height,loc_velocity,labelCycling,labelWalking,labelSitting,labelRunning,labelStanding,labelWalkingStairs,labelElevator,labelJumping,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9
2018-06-19 14:11:45.750,-9.88813570404,-7.30260570499,1.4352809468,0.452582226797,-3.3312874182,2.12616325866,16.5795619703,28.5305466029,-4.04175062648,0.761134860864,0.901770272253,1.89193278195,435.0,52.3341986,4.8658423925,4.2769744875,0,1,0,0,0,0,0,0,0.329807348336,-0.254425829427,-0.274791805546,0.330116270239,-0.00670160729616,-0.155204464828,-0.0714628619432,0.0529127710475,-0.0541099020275
2018-06-19 14:11:46.000,-5.85058995651,-8.05129942542,0.617817678544,4.19257111272,-4.87882791431,0.980606536067,24.7850882602,24.3712967164,-6.53370372817,0.142300815075,-0.0320304014864,-0.345184691725,468.0,52.33420178,4.86584311,4.265515137,0,1,0,0,0,0,0,0,0.316190540585,-0.191464982879,-0.246364744251,-0.0959539596571,0.0296293209425,-0.180579746208,-0.164839583587,-0.0602449081019,-0.00863882070294
2018-06-19 14:11:46.250,-6.99072389866,-7.57569158357,0.767666474928,-0.731564651928,-0.325391179944,0.322202635183,17.6209192555,28.3635705959,-7.359150703,-0.556208561274,-1.12269038262,-1.91189921272,1329.0,52.33420497,4.8658435525,4.4080474855,0,1,0,0,0,0,0,0,0.34916229752,-0.226586416125,-0.205748106865,-0.339178598378,-0.052041265083,0.0827659787913,-0.0169051011237,0.0586062636993,-0.0607827752424
2018-06-19 14:11:46.500,-10.4670561199,-6.13682219953,0.174335356388,-6.54916009885,2.49425943349,0.43998293548,8.11927641907,32.0506286592,-6.00570433844,-0.530323959827,-0.459833404843,-0.401093441118,1227.0,52.33420816,4.865843995,4.550579834,0,1,0,0,0,0,0,0,0.346497356519,-0.263929548366,-0.231030663117,-0.0362417413805,-0.131134048302,0.209872301252,0.156634026649,0.1299473567,-0.146736503646
2018-06-19 14:11:46.750,-11.0548686936,-6.40150914752,1.06153389127,-2.84728266389,-0.5975760965,1.49330873733,10.8741336982,32.1659903886,-5.49347307187,0.399372387506,1.03211058571,1.9004419109,665.0,52.33421135,4.8658444375,4.6931121825,0,1,0,0,0,0,0,0,0.343854689975,-0.280765128903,-0.265630465488,0.368211735775,-0.0706924598174,-0.0295475418522,0.0550788980622,0.0626984756361,-0.100185283758
2018-06-19 14:11:47.000,-7.86208022666,-8.32380235673,2.22314121905,3.61735948323,-4.73661149136,2.17788420467,20.7474244652,27.3117400864,-6.63386859488,0.798073754154,0.638119605101,1.08614847993,319.0,52.33421454,4.86584488,4.835644531,0,1,0,0,0,0,0,0,0.348878353054,-0.252429916259,-0.250923472257,0.176954603825,0.0438183470243,-0.233087946085,-0.163958182223,0.021515881393,-0.00995120228248
2018-06-19 14:11:47.250,-5.49815694202,-8.32478668441,0.34699007804,1.9982464621,-3.17549193194,0.405952566733,22.6042624586,23.9181803767,-8.41892133724,-0.406586782299,-0.978789453807,-1.58404801701,843.0,52.3342176425,4.8658464525,4.847592163,0,1,0,0,0,0,0,0,0.331412121252,-0.192618958174,-0.216478247513,-0.330216132907,0.00731388273601,-0.0475080749099,-0.105100447729,-0.0166608318174,-0.0398471277587
2018-06-19 14:11:47.500,-8.15481263667,-6.58925233468,-0.131509362463,-4.03014576881,1.66177357077,-0.651360485524,12.7185006689,29.8070991134,-8.67526457015,-0.823694999646,-0.901350396791,-1.53161209743,1184.0,52.334220745,4.865848025,4.859539795,0,1,0,0,0,0,0,0,0.344916107283,-0.233931075957,-0.208965811083,-0.260387836098,-0.109112038619,0.189901045347,0.11597707248,0.0225134994915,-0.114105320498
2018-06-19 14:11:47.750,-11.5993031058,-6.25865908143,1.80914603224,-5.15310247811,1.60928550677,1.61236818157,5.98611504773,34.7876715209,-7.58703824351,0.494926025698,0.617532890908,1.06681717447,992.0,52.3342238475,4.8658495975,4.871487427,0,1,0,0,0,0,0,0,0.381621155491,-0.312638548465,-0.231349976057,0.267089304193,-0.0999294350207,0.0865004481612,0.116933459495,0.15413831339,-0.119120723421
2018-06-19 14:11:48.000,-9.78687495835,-7.61754011172,1.88534374796,0.703781461976,-3.21422162968,2.285334971,15.0433820955,28.8302516004,-6.87052952176,0.806813881099,0.989157915735,1.94420486236,308.0,52.33422695,4.86585117,4.883435059,0,1,0,0,0,0,0,0,0.352526946568,-0.272406794182,-0.258154208242,0.344746102755,0.00736179233577,-0.172085500561,-0.070137996595,0.060203308893,-0.0610218403451
2018-06-19 14:11:48.250,-5.77579331271,-8.14955228485,1.18983670435,4.63934680029,-4.73997712757,1.48836857549,25.7172302667,22.516347632,-7.75646328391,0.00482230849141,-0.17255289101,-0.390162448854,349.5,52.3342299375,4.865853385,4.98313598675,0,1,0,0,0,0,0,0,0.325926880988,-0.185392191904,-0.23834722677,-0.111987057382,0.0673927528737,-0.191069606072,-0.194857507762,-0.0176494353155,-0.0115684964411
2018-06-19 14:11:48.500,-6.95303983748,-6.88813949925,0.77918650717,-1.26323539301,-0.137095024682,-0.253325589172,18.5937124689,27.2212019416,-11.0107948147,-0.15785499159,-0.900047919576,-2.10223886325,1084.0,52.334232925,4.8658556,5.0828369145,0,1,0,0,0,0,0,0,0.354212437561,-0.213543849584,-0.197720315328,-0.334312658987,-0.0371124270199,0.121966848189,0.0100930658079,0.00222946597843,-0.0582493238919
2018-06-19 14:11:48.750,-11.4745499366,-5.97800017942,0.527067045675,-6.95314773571,2.72878325196,0.528658170337,6.92050946608,34.7485293693,-12.8643761719,0.0174414961693,-0.0239952135157,-0.0170969516951,1126.0,52.3342359125,4.865857815,5.18253784225,0,1,0,0,0,0,0,0,0.376555084083,-0.308809069774,-0.218967569959,0.0754164482666,-0.10549595505,0.225719701377,0.176083216388,0.111724165598,-0.14821775499
2018-06-19 14:11:49.000,-10.9928920133,-6.81702735145,1.66086140302,-1.56706605231,-1.84011757055,1.51509041645,13.6944769697,30.9290855972,-11.5455390604,0.280604284947,1.05667406895,2.24613456648,678.0,52.3342389,4.86586003,5.28223877,0,1,0,0,0,0,0,0,0.366043617755,-0.296782607423,-0.247310884879,0.398230932408,-0.00219123938662,-0.069588346429,0.0103036090058,0.02375716833,-0.0914541183742
2018-06-19 14:11:49.250,-6.71957951121,-8.20721778834,1.7840415593,4.56208689923,-5.85363877294,1.39964797858,27.9395453719,21.4727077534,-11.456377724,0.276568994649,0.43289638731,0.610647509176,263.0,52.334241865,4.8658624925,5.2463806155,0,1,0,0,0,0,0,0,0.335109627688,-0.202901801646,-0.24239403188,0.0654259333022,0.116429994344,-0.222515202134,-0.203864834073,-0.078987053372,-0.0108819448113
2018-06-19 14:11:49.500,-6.09753528041,-7.96982172759,0.270841012681,0.678558191021,-2.35022073429,0.553870292861,24.4236758439,23.2632702914,-12.2669684845,-0.377645970126,-0.838590923084,-2.07324123702,798.0,52.33424483,4.865864955,5.210522461,0,1,0,0,0,0,0,0,0.333746022707,-0.194074454241,-0.21669003959,-0.351801232979,0.0385278237285,0.0258937527402,-0.0930186236735,-0.00500613944789,-0.0618424126223
2018-06-19 14:11:49.750,-9.62193239095,-6.0569472476,0.27060824612,-5.61252519829,2.22407340954,-0.230861525864,8.67178786918,33.318659292,-12.5626404459,-0.363480676479,-0.524709466021,-1.42759137282,1153.0,52.334247795,4.8658674175,5.1746643065,0,1,0,0,0,0,0,0,0.371639991006,-0.276511935978,-0.198779822767,-0.168634874297,-0.113644114985,0.23461298241,0.160399753061,0.0661223865407,-0.133154755119
2018-06-19 14:11:50.000,-12.0966730499,-5.97544585235,1.33440463598,-4.50519107015,0.952451242364,0.616921796483,7.14858447568,34.1416876502,-13.9203592634,0.388314594493,0.628731502318,1.4536886543,919.0,52.33425076,4.86586988,5.138806152,0,1,0,0,0,0,0,0,0.385637194451,-0.319182296555,-0.220047947811,0.300783956337,-0.0691209366292,0.0953772380218,0.138520604468,0.0466058776929,-0.12159996771
2018-06-19 14:11:50.250,-8.97189366775,-7.93292721242,1.57387598265,1.74999786205,-3.9927696542,1.37749713071,21.8366287014,24.1492240738,-13.6972169358,0.373234880833,0.693728582398,1.83298354609,257.5,52.33425341,4.8658730225,5.11648254375,0,1,0,0,0,0,0,0,0.348482256615,-0.24956845933,-0.244490005681,0.266553776152,0.0868343256783,-0.160102488674,-0.102922475125,-0.0493695311298,-0.0573439323158
2018-06-19 14:11:50.500,-4.98413239398,-7.99794528177,0.850138405988,3.83498149515,-4.83778257565,1.41047725556,26.7601881285,19.8734528407,-12.5030739556,-0.19646704789,-0.321586559976,-0.920194126945,417.0,52.33425606,4.865876165,5.0941589355,0,1,0,0,0,0,0,0,0.334957043067,-0.164632494256,-0.215213679096,-0.19529652035,0.0978913429189,-0.155002489592,-0.191488245784,-0.0244452305967,-0.0344913454822
2018-06-19 14:11:50.750,-8.03345131016,-6.60427332001,0.268343063418,-1.9255568631,0.601897521553,-1.09151603773,13.2362458182,27.5851550112,-13.9714942021,-0.320561995143,-1.00732859537,-1.88148264699,935.0,52.33425871,4.8658793075,5.07183532725,0,1,0,0,0,0,0,0,0.361988556028,-0.227894933691,-0.179363567532,-0.313560007403,-0.0641803338137,0.161478069515,0.0932901804066,-0.0375697344494,-0.0944710712072
2018-06-19 14:11:51.000,-11.8363347129,-6.41823422686,0.982512769496,-6.42789969054,2.51019694756,0.106305655296,5.02477477148,33.3680264795,-15.660701507,0.0573100733703,-0.194924099555,0.421162894434,931.0,52.33426136,4.86588245,5.049511719,0,1,0,0,0,0,0,0,0.392221803417,-0.323429161191,-0.197094601514,0.102277640122,-0.0869045289441,0.208043267214,0.19347018002,0.0825502247344,-0.153994200082
2018-06-19 14:11:51.250,-9.56709977709,-7.33351721333,1.52890682536,-0.90117523321,-2.74230704755,0.583105952118,14.8316663256,28.3905866777,-15.9740865155,0.304177881294,0.75722786905,1.9787254627,345.5,52.3342645925,4.8658847775,5.3142211915,0,1,0,0,0,0,0,0,0.374234906898,-0.287257290976,-0.220094698634,0.302305994707,0.0218054246584,-0.0819635173777,0.0139652019693,-0.0599462890148,-0.0862102697769
2018-06-19 14:11:51.500,-6.4577649928,-8.25941389557,0.957499428836,5.1495082736,-5.2684340047,-0.268143024453,24.4073446167,21.0521004931,-14.8574979113,-0.191618613216,-0.00932269704128,0.404571866966,245.0,52.334267825,4.865887105,5.578930664,0,1,0,0,0,0,0,0,0.340259489904,-0.202440954403,-0.211788596828,-0.0307463631906,0.0850675317809,-0.192496912729,-0.126995111922,-0.186101297868,-0.0274494794505
