"Time (s)","Illuminance (lx)"
4.950752502E2,1.009000000E3
4.952780395E2,1.084000000E3
4.954808898E2,1.159000000E3
4.956838012E2,8.850000000E2
4.958865905E2,8.580000000E2
4.960894103E2,1.057000000E3
4.962922302E2,9.340000000E2
4.964953857E2,6.290000000E2
4.966978698E2,9.080000000E2
4.969007507E2,7.530000000E2
4.971036315E2,7.980000000E2
4.973064819E2,7.930000000E2
4.975094238E2,1.141000000E3
4.977121826E2,1.109000000E3
4.979150261E2,7.020000000E2
4.981178459E2,8.840000000E2
4.983207267E2,9.850000000E2
4.985235771E2,7.680000000E2
4.987263969E2,5.080000000E2
4.989295524E2,7.280000000E2
4.991320976E2,8.900000000E2
4.993349479E2,5.150000000E2
4.995377983E2,2.990000000E2
4.997406486E2,3.720000000E2
4.999435600E2,2.470000000E2
5.001463493E2,3.340000000E2
5.003492302E2,3.620000000E2
5.005520805E2,3.000000000E2
5.007549614E2,2.910000000E2
5.009578117E2,3.220000000E2
5.011606315E2,4.240000000E2
5.013636955E2,3.310000000E2
5.015663322E2,3.820000000E2
5.017692131E2,6.160000000E2
5.019720939E2,4.800000000E2
5.021749443E2,6.610000000E2
5.023778251E2,1.104000000E3
5.025806449E2,1.386000000E3
5.027838005E2,1.160000000E3
5.029863456E2,1.022000000E3
5.031891655E2,1.568000000E3
5.033920463E2,1.615000000E3
5.035948661E2,1.099000000E3
5.037978080E2,1.217000000E3
5.040005058E2,1.976000000E3
5.042033561E2,1.728000000E3
5.044062065E2,1.155000000E3
5.046090263E2,1.665000000E3
5.048118766E2,1.847000000E3
5.050146659E2,1.441000000E3
5.052179435E2,1.397000000E3
5.054203361E2,1.858000000E3
5.056231559E2,1.667000000E3
5.058259758E2,1.859000000E3
5.060287956E2,2.321000000E3
5.062319511E2,2.819000000E3
5.064344352E2,8.643000000E3
5.066372856E2,1.539200000E4
5.068401664E2,1.631100000E4
5.070429557E2,1.041200000E4
5.072459587E2,1.098600000E4
5.074486259E2,8.948000000E3
5.076514457E2,2.816000000E3
5.078542350E2,1.653000000E3
5.080570892E2,1.342000000E3
5.082600005E2,1.575000000E3
5.084627288E2,1.520000000E3
5.086655486E2,1.107000000E3
5.088684295E2,1.291000000E3
5.090711883E2,1.496000000E3
5.092740386E2,1.141000000E3
5.094768279E2,1.004000000E3
5.096796478E2,1.536000000E3
5.098824371E2,1.532000000E3
5.100852874E2,1.071000000E3
5.102881683E2,1.271000000E3
5.104909271E2,1.553000000E3
5.106940826E2,1.396000000E3
5.108965667E2,7.960000000E2
5.110993865E2,1.061000000E3
5.113022369E2,1.073000000E3
5.115049957E2,3.280000000E2
5.117081207E2,2.760000000E2
5.119106353E2,5.050000000E2
5.121134246E2,3.460000000E2
5.123163360E2,2.020000000E2
5.125190643E2,2.350000000E2
5.127221282E2,2.840000000E2
5.129246734E2,2.130000000E2
5.131274932E2,2.180000000E2
5.133303436E2,2.630000000E2
5.135334380E2,2.530000000E2
5.137362273E2,2.800000000E2
5.139387420E2,2.890000000E2
5.143443816E2,3.020000000E2
5.145472015E2,3.900000000E2
5.147501739E2,4.210000000E2
5.149528411E2,4.280000000E2
5.151556304E2,7.320000000E2
5.153584502E2,9.810000000E2
5.155612396E2,6.750000000E2
5.157642120E2,1.982000000E3
5.159668792E2,2.379000000E3
5.161696380E2,2.517000000E3
5.163724883E2,1.099000000E3
5.165753082E2,2.064000000E3
5.167782501E2,2.447000000E3
5.169808868E2,1.377000000E3
5.171837066E2,2.297000000E3
5.173865264E2,1.693000000E3
5.175893157E2,3.074000000E3
5.177922271E2,2.416000000E3
5.179949407E2,2.545000000E3
5.181977605E2,2.725000000E3
5.184005498E2,2.199000000E3
5.186033391E2,2.469000000E3
5.188062810E2,1.103000000E3
5.190089788E2,1.679000000E3
5.192117681E2,2.524000000E3
5.194145879E2,1.248000000E3
5.196173772E2,1.442000000E3
5.198202275E2,3.386000000E3
5.200230168E2,3.029000000E3
5.202258367E2,1.098000000E3
5.204286870E2,2.173000000E3
5.206314458E2,3.952000000E3
5.208342656E2,1.648000000E3
5.210370244E2,1.315000000E3
5.212398442E2,2.424000000E3
5.214426641E2,2.288000000E3
5.216454534E2,1.181000000E3
5.218482732E2,1.263000000E3
5.220510930E2,1.597000000E3
5.222538823E2,1.123000000E3
5.224566716E2,1.290000000E3
5.226594915E2,1.320000000E3
5.228623113E2,1.224000000E3
5.230651006E2,1.223000000E3
5.232685308E2,1.592000000E3
5.234707402E2,1.281000000E3
5.236735295E2,1.113000000E3
5.238763494E2,1.607000000E3
5.240791387E2,1.312000000E3
5.242819890E2,1.221000000E3
5.244847783E2,1.326000000E3
5.246875676E2,1.582000000E3
5.248903874E2,1.287000000E3
5.250931768E2,1.217000000E3
5.252959661E2,1.483000000E3
5.254987859E2,1.612000000E3
5.257016057E2,1.451000000E3
5.259043950E2,3.156000000E3
5.261071538E2,3.651000000E3
5.263100041E2,2.300000000E3
5.265128240E2,1.859000000E3
5.267156438E2,2.947000000E3
5.269184941E2,3.072000000E3
5.271212529E2,1.975000000E3
5.273244695E2,2.853000000E3
5.275268621E2,3.932000000E3
5.277296819E2,2.067000000E3
5.279325420E2,1.967000000E3
