"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.518066406E0,-1.347961426E1,3.923034668E0,-4.097747803E1
3.538360596E0,-1.133270264E1,4.634094238E0,-4.241790771E1
3.559112549E0,-1.134033203E1,3.242492676E0,-4.239959717E1
3.578063965E0,-1.135406494E1,1.152038574E0,-4.237060547E1
3.598022461E0,-1.134948730E1,3.244018555E0,-4.311370850E1
3.617980957E0,-7.769775391E0,1.176452637E0,-4.380340576E1
3.637969971E0,-8.502197266E0,4.776000977E-1,-4.450836182E1
3.657958984E0,-6.350708008E0,-9.033203125E-1,-4.449157715E1
3.677947998E0,-3.756713867E0,1.071166992E0,-4.584350586E1
3.698333740E0,-4.489135742E0,3.738403320E-1,-4.654693604E1
3.718017578E0,-1.647949219E0,-3.089904785E0,-4.793243408E1
3.737945556E0,-3.067016602E0,-1.010131836E0,-4.724426270E1
3.757904053E0,5.218505859E-1,-1.686096191E0,-4.795379639E1
3.777893066E0,1.232910156E0,-1.679992676E0,-4.866943359E1
3.797882080E0,1.962280273E0,-1.678466797E0,-4.795532227E1
3.817871094E0,-1.622009277E0,1.089477539E0,-4.798889160E1
3.837860107E0,-8.204650879E0,3.695678711E0,-4.588623047E1
3.858184814E0,-1.249694824E1,7.151794434E0,-4.521331787E1
3.878021240E0,-1.101684570E1,9.242248535E0,-4.309997559E1
3.897857666E0,-8.865356445E0,9.255981445E0,-4.381713867E1
3.917816162E0,-9.602355957E0,7.861328125E0,-4.451141357E1
3.937805176E0,-9.628295898E0,3.683471680E0,-4.445495605E1
3.957794189E0,-1.036987305E1,2.987670898E0,-4.587402344E1
3.977783203E0,-8.912658691E0,4.385375977E0,-4.517974854E1
3.997772217E0,-9.442138672E0,7.452392578E0,-4.423217773E1
4.018188476E0,-8.729553223E0,8.854675293E0,-4.568023682E1
4.038024902E0,-1.016235352E1,8.843994141E0,-4.496459961E1
4.057739258E0,-1.159362793E1,8.834838867E0,-4.424896240E1
4.077758789E0,-1.016235352E1,7.449340820E0,-4.423217773E1
4.097747803E0,-1.019134521E1,3.968811035E0,-4.489898682E1
4.117706299E0,-7.302856445E0,5.377197266E0,-4.492187500E1
4.137695312E0,-8.056640625E0,3.987121582E0,-4.704437256E1
4.157684326E0,-1.400756836E0,-4.814147949E0,-4.620056152E1
4.177673340E0,-1.391601562E0,-3.422546387E0,-4.622039795E1
4.197998047E0,-1.412963867E0,-4.113769531E0,-4.763946533E1
4.217681885E0,-1.400756836E0,-4.814147949E0,-4.620056152E1
4.237701416E0,-6.759643555E-1,-2.719116211E0,-4.694366455E1
4.257629394E0,3.628540039E0,-5.482482910E0,-4.691162109E1
4.277618408E0,2.899169922E0,-5.484008789E0,-4.762573242E1
4.297637939E0,4.331970215E0,-8.265686035E0,-4.687652588E1
4.317596435E0,7.208251953E0,-1.034240723E1,-4.613647461E1
4.337585449E0,5.885314941E0,-2.186584473E0,-4.572448730E1
4.358001709E0,7.321166992E0,-4.270935059E0,-4.498443604E1
4.377655029E0,1.092681885E1,-3.556823730E0,-4.499816895E1
4.397552490E0,1.092681885E1,-3.556823730E0,-4.499816895E1
4.417541504E0,8.744812012E0,-2.864074707E0,-4.714813232E1
4.437530517E0,1.168518066E1,2.714538574E0,-4.508361816E1
4.457519531E0,8.757019043E0,2.015686035E0,-4.864196777E1
4.477508545E0,2.832031250E0,6.192016602E0,-4.744262695E1
4.497497558E0,-7.522583008E-1,1.035461426E1,-4.820861816E1
4.517822265E0,-5.035400391E0,1.380920410E1,-4.682159424E1
4.537658691E0,-1.075897217E1,1.586151123E1,-4.469909668E1
4.557495117E0,-1.360931396E1,1.932678223E1,-4.402770996E1
4.577514648E0,-1.284637451E1,2.210845947E1,-4.192352295E1
4.597473144E0,-1.425323486E1,2.488250732E1,-4.053039551E1
4.617431640E0,-1.282958984E1,2.350006104E1,-4.122772217E1
4.637420654E0,-1.066894531E1,2.490539551E1,-4.196319580E1
4.657409668E0,-7.788085938E0,2.492065430E1,-4.196624756E1
4.677795410E0,-8.700561523E0,2.856140137E1,-4.225006104E1
4.697631836E0,-7.281494141E0,2.787628174E1,-4.367218018E1
4.717376709E0,-6.561279297E0,2.648620605E1,-4.293975830E1
4.737396240E0,-7.997131348E0,2.717437744E1,-4.294738770E1
4.757354736E0,-7.255554199E0,2.787017822E1,-4.152832031E1
4.777374267E0,-6.552124023E0,2.787780762E1,-4.295806885E1
4.797332764E0,4.891967773E0,1.834106445E1,-3.976440430E1
4.817321777E0,4.884338379E0,1.694946289E1,-3.974609375E1
4.837310791E0,5.630493164E0,1.834106445E1,-3.833618164E1
4.857666015E0,6.350708008E0,1.694946289E1,-3.760528564E1
4.877319336E0,6.327819824E0,1.904754639E1,-4.049072266E1
4.897308349E0,7.052612305E0,1.974792480E1,-4.049987793E1
4.917266846E0,9.956359863E0,1.905975342E1,-3.835144043E1
4.937255859E0,9.187316895E0,1.697540283E1,-4.118041992E1
4.957244873E0,1.139678955E1,1.906738281E1,-3.835296631E1
4.977233887E0,1.211242676E1,1.976928711E1,-3.907775879E1
4.997222900E0,1.426849365E1,1.768951416E1,-3.833770752E1
5.017639160E0,9.938049316E0,2.024078369E1,-4.122314453E1
5.037322998E0,8.448791504E0,1.954956055E1,-4.478302002E1
5.057220459E0,1.423339844E1,1.887512207E1,-4.263763428E1
5.077178955E0,1.277618408E1,1.747741699E1,-4.333190918E1
5.097167969E0,1.350097656E1,1.817779541E1,-4.334259033E1
5.117156982E0,1.546478271E1,2.024841309E1,-4.143524170E1
5.137145996E0,1.908721924E1,1.956329346E1,-3.928680420E1
5.157165527E0,2.125701904E1,1.957244873E1,-3.857574463E1
5.177459717E0,2.486724854E1,1.958770752E1,-3.786468506E1
5.197326660E0,2.776641846E1,1.680755615E1,-3.497314453E1
5.217163086E0,2.921142578E1,1.472015381E1,-3.351898193E1
5.237091064E0,3.427124023E1,1.334686279E1,-3.136291504E1
5.257080078E0,3.717346191E1,9.867858887E0,-2.774810791E1
5.277069092E0,3.936920166E1,7.078552246E0,-2.342681885E1
5.297058105E0,4.157867432E1,6.379699707E0,-1.913452148E1
5.317047119E0,4.163970947E1,4.966735840E0,-1.340026855E1
5.337432861E0,4.452362061E1,6.164550781E0,-1.159210205E1
5.357299805E0,4.313507080E1,6.143188477E0,-7.304382324E0
5.377014160E0,4.313964844E1,1.257324219E0,-4.380798340E0
5.397033691E0,4.460144043E1,5.615234375E-1,-2.229309082E0
5.416992187E0,4.317932129E1,-8.453369141E-1,-6.713867188E-2
5.437011719E0,3.462829590E1,3.419494629E0,-4.286193848E0
5.456970215E0,3.683776855E1,1.324462891E0,7.385253906E-1
5.476959228E0,3.396911621E1,2.003479004E0,1.448059082E0
