"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.140224745E2,5.233211645E1,4.866693840E0,3.381481934E0,3.609999895E0,2.585000000E2,1.072000027E1,0.000000000E0
1.150206136E2,5.233211020E1,4.866619690E0,3.759594727E0,3.650000095E0,2.763999939E2,1.179199982E1,0.000000000E0
1.160292540E2,5.233210818E1,4.866557000E0,4.282604980E0,3.529999971E0,2.740000000E2,1.179199982E1,0.000000000E0
1.170207543E2,5.233210387E1,4.866469410E0,3.462536621E0,4.219999790E0,2.660000000E2,1.072000027E1,0.000000000E0
1.180167515E2,5.233209926E1,4.866394200E0,3.708325195E0,4.050000191E0,2.681000061E2,1.072000027E1,0.000000000E0
1.190217856E2,5.233209239E1,4.866312360E0,2.530895996E0,4.239999771E0,2.680000000E2,1.072000027E1,0.000000000E0
1.200167710E2,5.233208934E1,4.866215970E0,2.656506348E0,4.519999981E0,2.813999939E2,1.072000027E1,0.000000000E0
1.210171012E2,5.233209025E1,4.866117300E0,2.286450195E0,4.699999809E0,2.767999878E2,1.179199982E1,0.000000000E0
1.220205274E2,5.233209093E1,4.866029780E0,1.988293457E0,4.920000076E0,2.697000122E2,1.179199982E1,0.000000000E0
1.230243292E2,5.233208555E1,4.865941250E0,2.192578125E0,5.909999847E0,2.520000000E2,1.179199982E1,0.000000000E0
1.240264424E2,5.233206349E1,4.865846070E0,3.483105469E0,9.850000381E0,2.511999969E2,1.179199982E1,0.000000000E0
1.250249354E2,5.233202069E1,4.865785580E0,3.448315430E0,8.390000343E0,2.253999939E2,1.179199982E1,0.000000000E0
1.260225376E2,5.233202158E1,4.866032270E0,3.427868652E0,1.350000024E0,1.331000061E2,1.179199982E1,0.000000000E0
1.270160021E2,5.233202310E1,4.866064300E0,3.820507812E0,1.860000014E0,8.809999847E1,1.072000027E1,0.000000000E0
1.280201450E2,5.233202596E1,4.866095910E0,3.354748535E0,1.870000005E0,9.369999695E1,1.072000027E1,0.000000000E0
1.290316996E2,5.233203051E1,4.866111570E0,3.063244629E0,7.300000191E-1,9.369999695E1,9.648000717E0,0.000000000E0
1.300237031E2,5.233203805E1,4.866133550E0,2.186596680E0,1.909999967E0,8.219999695E1,9.648000717E0,0.000000000E0
1.310163923E2,5.233204387E1,4.866163980E0,2.122326660E0,1.960000038E0,8.650000000E1,9.648000717E0,0.000000000E0
1.320240980E2,5.233204980E1,4.866196910E0,3.024365234E0,2.000000000E0,8.730000305E1,9.648000717E0,0.000000000E0
1.330072965E2,5.233205447E1,4.866231910E0,4.987500000E0,2.039999962E0,8.809999847E1,9.648000717E0,0.000000000E0
1.340212331E2,5.233205763E1,4.866267380E0,5.208630371E0,2.029999971E0,9.000000000E1,9.648000717E0,0.000000000E0
1.350260619E2,5.233206051E1,4.866306090E0,4.613354492E0,2.000000000E0,8.869999695E1,9.648000717E0,0.000000000E0
1.360190391E2,5.233206105E1,4.866344450E0,3.511547852E0,1.710000038E0,9.969999695E1,9.648000717E0,0.000000000E0
1.370178516E2,5.233206026E1,4.866546310E0,4.735546875E0,4.639999866E0,9.280000305E1,9.648000717E0,0.000000000E0
1.380030167E2,5.233206023E1,4.866619040E0,3.750256348E0,4.360000134E0,9.559999847E1,9.648000717E0,0.000000000E0
1.390054762E2,5.233205605E1,4.866684670E0,3.482617187E0,4.190000057E0,9.530000305E1,9.648000717E0,0.000000000E0
1.400106903E2,5.233205161E1,4.866741440E0,3.365551758E0,3.740000010E0,9.930000305E1,9.648000717E0,0.000000000E0
1.410149545E2,5.233205332E1,4.866809960E0,3.688549805E0,4.389999866E0,8.940000153E1,9.648000717E0,0.000000000E0
1.420071836E2,5.233204994E1,4.866876440E0,3.120190430E0,4.559999943E0,8.950000000E1,9.648000717E0,0.000000000E0
1.430039790E2,5.233204679E1,4.866937690E0,2.464489746E0,4.460000038E0,9.069999695E1,9.648000717E0,0.000000000E0
1.440046210E2,5.233205133E1,4.867006170E0,2.558361816E0,4.389999866E0,8.900000000E1,9.648000717E0,0.000000000E0
1.450059431E2,5.233205277E1,4.867069740E0,2.156933594E0,3.769999981E0,9.100000000E1,9.648000717E0,0.000000000E0
1.460047896E2,5.233205517E1,4.867128040E0,2.718029785E0,3.599999905E0,9.309999847E1,9.648000717E0,0.000000000E0
1.470086979E2,5.233205748E1,4.867199230E0,3.544140625E0,4.139999866E0,8.709999847E1,9.648000717E0,0.000000000E0
1.480066384E2,5.233206286E1,4.867257160E0,4.550854492E0,3.859999895E0,8.600000000E1,9.648000717E0,0.000000000E0
1.490094840E2,5.233206453E1,4.867293120E0,4.644787598E0,6.399999857E-1,8.719999695E1,9.648000717E0,0.000000000E0
1.500051959E2,5.233206584E1,4.867309220E0,3.635205078E0,6.399999857E-1,8.780000305E1,9.648000717E0,0.000000000E0
1.510168373E2,5.233206714E1,4.867332150E0,2.590710449E0,1.409999967E0,8.959999847E1,9.648000717E0,0.000000000E0
1.520190646E2,5.233206892E1,4.867414430E0,1.173107910E0,0.000000000E0,0.000000000E0,1.372160034E2,0.000000000E0
1.530252346E2,5.233207366E1,4.867600420E0,6.109130859E-1,0.000000000E0,0.000000000E0,2.036800003E1,0.000000000E0
1.540116216E2,5.233208099E1,4.867789080E0,3.563964844E-1,0.000000000E0,0.000000000E0,1.607999992E1,0.000000000E0
1.550175533E2,5.233207482E1,4.867729720E0,-2.444946289E-1,4.610000134E0,9.090000153E1,9.648000717E0,0.000000000E0
1.560050883E2,5.233207258E1,4.867799860E0,1.011364746E0,4.489999771E0,9.080000305E1,9.648000717E0,0.000000000E0
1.570058591E2,5.233207875E1,4.867872340E0,1.486218262E0,4.590000153E0,8.319999695E1,9.648000717E0,0.000000000E0
1.580128630E2,5.233207978E1,4.867946580E0,1.835156250E0,4.650000095E0,8.750000000E1,9.648000717E0,0.000000000E0
1.590156219E2,5.233207714E1,4.868012160E0,1.975048828E0,4.449999809E0,8.380000305E1,9.648000717E0,0.000000000E0
1.600107985E2,5.233207736E1,4.868080610E0,1.421887207E0,4.590000153E0,8.090000153E1,9.648000717E0,0.000000000E0
1.610104655E2,5.233207445E1,4.868136650E0,1.277355957E0,4.219999790E0,8.630000305E1,9.648000717E0,0.000000000E0
1.620073459E2,5.233207521E1,4.868218640E0,1.946179199E0,5.239999771E0,9.019999695E1,9.648000717E0,0.000000000E0
1.630063223E2,5.233207186E1,4.868280290E0,1.582348633E0,4.429999828E0,9.069999695E1,9.648000717E0,0.000000000E0
1.640096145E2,5.233206445E1,4.868357020E0,1.553234863E0,4.730000019E0,1.005000000E2,9.648000717E0,0.000000000E0
1.650034755E2,5.233208491E1,4.868399260E0,1.609082031E0,3.640000105E0,7.130000305E1,9.648000717E0,0.000000000E0
1.660060726E2,5.233209385E1,4.868426830E0,1.934704590E0,1.009999990E0,6.159999847E1,9.648000717E0,0.000000000E0
1.670091320E2,5.233209813E1,4.868439790E0,3.273205566E0,8.199999928E-1,5.370000076E1,9.648000717E0,0.000000000E0
1.680274484E2,5.233210272E1,4.868453510E0,3.184155273E0,9.200000167E-1,5.929999924E1,9.648000717E0,0.000000000E0
1.690225612E2,5.233211308E1,4.868473870E0,3.787609863E0,1.490000010E0,4.940000153E1,9.648000717E0,0.000000000E0
1.700291754E2,5.233212747E1,4.868494020E0,3.609997559E0,1.629999995E0,3.840000153E1,9.648000717E0,0.000000000E0
1.710342417E2,5.233215052E1,4.868506770E0,3.730969238E0,2.190000057E0,8.600000381E0,1.072000027E1,0.000000000E0
