sensor_type,device_type,timestamps,illuminance
light,smartphone,1529417941728380928,2.0
light,smartphone,1529417941931261952,3.0
light,smartphone,1529417942337024000,1.0
light,smartphone,1529417942540056832,0.0
light,smartphone,1529417942945666048,1.0
light,smartphone,1529417943148577792,3.0
light,smartphone,1529417943351428096,16.0
light,smartphone,1529417943554308864,14.0
light,smartphone,1529417943757189888,2.0
light,smartphone,1529417943960283904,1.0
light,smartphone,1529417944162950912,0.0
light,smartphone,1529417944365801984,3.0
light,smartphone,1529417944568675072,7.0
light,smartphone,1529417944771586048,3.0
light,smartphone,1529417944974497024,0.0
light,smartphone,1529417945177316864,1.0
light,smartphone,1529417945380594944,7.0
light,smartphone,1529417945583108864,5.0
light,smartphone,1529417945785959936,3.0
light,smartphone,1529417945988840960,15.0
light,smartphone,1529417946191720960,28.0
light,smartphone,1529417946394601984,32.0
light,smartphone,1529417946800822016,28.0
light,smartphone,1529417947003245056,21.0
light,smartphone,1529417947206156032,1.0
light,smartphone,1529417947409037056,0.0
light,smartphone,1529417947611918080,1.0
light,smartphone,1529417948220956928,5.0
light,smartphone,1529417948423471872,3.0
light,smartphone,1529417948626353152,1.0
light,smartphone,1529417948829294848,6.0
light,smartphone,1529417949032144896,14.0
light,smartphone,1529417949235055872,10.0
light,smartphone,1529417949437936896,3.0
light,smartphone,1529417949641214976,1.0
light,smartphone,1529417949843668992,0.0
light,smartphone,1529417950046548992,2.0
light,smartphone,1529417950249430016,7.0
light,smartphone,1529417950452311040,6.0
light,smartphone,1529417950655252992,2.0
light,smartphone,1529417950858163968,1.0
light,smartphone,1529417951060923136,0.0
light,smartphone,1529417951263773952,2.0
light,smartphone,1529417951872446976,1.0
light,smartphone,1529417952278178048,6.0
light,smartphone,1529417952481089024,5.0
light,smartphone,1529417952683970048,3.0
light,smartphone,1529417952886851072,7.0
light,smartphone,1529417953089762048,12.0
light,smartphone,1529417953292582144,6.0
light,smartphone,1529417953495707136,7.0
light,smartphone,1529417953901225216,5.0
light,smartphone,1529417954104075008,2.0
light,smartphone,1529417954509867008,1.0
light,smartphone,1529417954712692992,3.0
