_id,statusId,sensorName,accuracy,value,timestamp
1764,4,"AK09911 Magnetometer",3,"[29.618835,30.464172,2.0736694]",1528171722595
1782,4,"AK09911 Magnetometer",3,"[29.644775,31.852722,3.4835815]",1528171722614
1800,4,"AK09911 Magnetometer",3,"[28.19519,31.848145,2.770996]",1528171722635
1818,4,"AK09911 Magnetometer",3,"[26.776123,33.927917,3.4591675]",1528171722654
1836,4,"AK09911 Magnetometer",3,"[26.07727,21.469116,-16.925049]",1528171722675
1854,4,"AK09911 Magnetometer",3,"[23.20404,21.452332,-16.207886]",1528171722694
1874,4,"AK09911 Magnetometer",3,"[18.896484,23.519897,-16.230774]",1528171722715
1892,4,"AK09911 Magnetometer",3,"[16.04004,26.287842,-15.550232]",1528171722734
1910,4,"AK09911 Magnetometer",3,"[13.86261,26.281738,-16.975403]",1528171722754
1928,4,"AK09911 Magnetometer",3,"[8.821106,26.255798,-16.9693]",1528171722775
1946,4,"AK09911 Magnetometer",3,"[10.256958,25.566101,-16.96167]",1528171722794
1964,4,"AK09911 Magnetometer",3,"[10.955811,26.274109,-19.11621]",1528171722815
1982,4,"AK09911 Magnetometer",3,"[9.518433,25.567627,-18.389893]",1528171722834
2000,4,"AK09911 Magnetometer",3,"[9.5199585,24.172974,-17.65747]",1528171722854
2018,4,"AK09911 Magnetometer",3,"[8.795166,23.472595,-17.64679]",1528171722874
2038,4,"AK09911 Magnetometer",3,"[6.629944,22.764587,-17.634583]",1528171722894
2056,4,"AK09911 Magnetometer",3,"[5.7144165,24.453735,-11.915588]",1528171722914
2074,4,"AK09911 Magnetometer",3,"[5.01709,25.141907,-10.494995]",1528171722934
2092,4,"AK09911 Magnetometer",3,"[6.4697266,25.843811,-9.791565]",1528171722955
2110,4,"AK09911 Magnetometer",3,"[6.452942,25.848389,-11.219788]",1528171722975
2128,4,"AK09911 Magnetometer",3,"[7.9055786,25.154114,-9.783936]",1528171722994
2146,4,"AK09911 Magnetometer",3,"[9.283447,33.18329,-3.5812378]",1528171723014
2164,4,"AK09911 Magnetometer",3,"[8.572388,33.177185,-2.8656006]",1528171723035
2184,4,"AK09911 Magnetometer",3,"[10.716248,31.79779,-3.5644531]",1528171723055
2202,4,"AK09911 Magnetometer",3,"[11.44104,32.496643,-3.5736084]",1528171723074
