"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.039184570E-1,6.826845407E-1,8.163452148E-3,1.218088627E0
7.088317870E-1,8.966412544E-1,9.844493866E-2,1.571390152E0
7.137451180E-1,1.050696850E0,2.209725380E-1,1.622591496E0
7.186889650E-1,1.112909913E0,2.585716248E-1,1.547562122E0
7.236022950E-1,1.101323843E0,2.552881241E-1,1.291523457E0
7.285156250E-1,9.416481853E-1,2.751617432E-1,1.117865562E0
7.334594730E-1,7.031966448E-1,1.874852180E-1,9.540605545E-1
7.383728030E-1,4.168689549E-1,1.931290627E-1,7.165880203E-1
7.432861330E-1,1.692149937E-1,2.050242424E-1,3.730106354E-1
7.481994630E-1,-3.563082218E-2,2.650589943E-1,1.072263718E-2
7.531433110E-1,-7.021445036E-2,3.925867081E-1,-4.401984215E-1
7.580566410E-1,-4.146665335E-2,5.614957809E-1,-7.207789421E-1
7.629699710E-1,1.629266739E-1,7.252478600E-1,-8.791399002E-1
7.679138190E-1,3.180081844E-1,9.133262634E-1,-9.687018394E-1
7.728271490E-1,4.138647318E-1,1.025218487E0,-9.820680618E-1
7.777404790E-1,5.355780125E-1,1.032753468E0,-9.495506287E-1
7.826843270E-1,6.015017033E-1,1.003739834E0,-8.798623085E-1
7.875976570E-1,5.969139934E-1,8.794236183E-1,-6.943340302E-1
7.925109870E-1,5.170915723E-1,7.700800896E-1,-4.826369286E-1
7.974243170E-1,4.277808070E-1,6.322135925E-1,-3.230328560E-1
8.023681640E-1,2.939528227E-1,4.572582245E-1,-1.975574493E-1
8.072814940E-1,-1.382725954E0,-1.318482876E0,-1.362770081E0
8.121948250E-1,-1.354595065E0,-1.513108730E0,-9.832091331E-1
8.171081550E-1,-6.788909435E-1,-1.152278423E0,1.439113617E-1
8.220520020E-1,-5.704739094E-1,-1.054065228E0,-1.195478439E-2
8.269653320E-1,-5.780365467E-1,-9.140224457E-1,-4.203033447E-1
8.318786620E-1,-4.859725237E-1,-1.129597187E0,6.028223038E-2
8.368225100E-1,3.446328640E-1,-3.754777908E-1,5.575776100E-1
8.417358400E-1,7.701469660E-1,1.772480011E-1,8.242368698E-2
8.466491700E-1,7.366667390E-1,5.646481514E-1,-1.398549080E-1
8.515625000E-1,4.779517055E-1,8.174986839E-1,5.427651405E-1
8.565063480E-1,3.163710833E-1,8.501076698E-1,1.355959415E0
8.614501960E-1,1.455178261E-1,6.960000992E-1,1.847576618E0
8.663635260E-1,-8.328711987E-2,4.565792084E-1,2.287263393E0
8.712768560E-1,-3.043792844E-1,1.965851784E-1,2.572579384E0
8.762207030E-1,-4.593456984E-1,5.243396759E-2,2.998981476E0
8.811340340E-1,-5.168661475E-1,1.243262291E-1,3.712358475E0
8.860473640E-1,-4.784027338E-1,3.591408730E-1,4.215682030E0
8.909912110E-1,-4.487839341E-1,6.309509277E-1,4.437400341E0
8.959045410E-1,-4.346854687E-1,7.884788513E-1,4.460769176E0
9.008483890E-1,-7.915253043E-1,5.811023712E-1,5.100003242E0
9.057617190E-1,-7.320933342E-1,5.452504158E-1,5.091440678E0
9.106750490E-1,-9.441096187E-1,2.948870659E-1,4.879540443E0
9.155883790E-1,-1.046546936E0,-7.537794113E-2,4.164978981E0
9.205017090E-1,-1.262709498E0,-5.981040001E-1,3.169370651E0
9.254455570E-1,-1.311471581E0,-1.133257866E0,2.211890221E0
9.303588870E-1,-1.465339780E0,-1.616566658E0,1.280345917E0
9.352722170E-1,-2.338099003E0,-2.502417088E0,7.244524956E-1
9.401855470E-1,-2.923189640E0,-3.054076195E0,-2.294492722E-2
9.451293950E-1,-3.278514147E0,-3.304060936E0,-6.425170898E-1
9.500427250E-1,-3.342437029E0,-3.261332989E0,-9.624300003E-1
9.549560550E-1,-2.952943325E0,-2.774931908E0,-1.168017387E0
9.598999030E-1,-2.422513008E0,-2.113380909E0,-1.187599659E0
9.648132330E-1,-1.837912560E0,-1.478587627E0,-1.267480373E0
9.697265630E-1,-1.446529388E0,-1.096605301E0,-1.512078285E0
9.746398930E-1,-1.181585312E0,-8.905363083E-1,-1.833546638E0
9.795837410E-1,-9.290012717E-1,-7.460846901E-1,-2.215013504E0
9.844970710E-1,-6.012461185E-1,-6.759643555E-1,-2.567078590E0
9.894104010E-1,-4.482007325E-1,-6.990599632E-1,-2.855507374E0
9.943542480E-1,-2.148590684E-1,-8.023262024E-1,-3.024868965E0
9.992675780E-1,2.036427259E-1,-7.661924362E-1,-3.078733444E0
1.004180909E0,9.249863625E-1,-6.598234177E-1,-3.002432823E0
1.009094239E0,1.787420034E0,-4.781026840E-1,-2.851819038E0
1.014038086E0,2.623760223E0,-2.218408585E-1,-2.667082787E0
1.018951416E0,3.263812542E0,1.392030716E-1,-2.436768532E0
1.023895264E0,3.747174025E0,4.243292809E-1,-2.243710995E0
1.028808594E0,4.136776924E0,5.063443184E-1,-1.977468014E0
1.033721924E0,4.840510368E0,-1.276679039E-1,-1.574404716E0
1.038635254E0,4.987625122E0,-9.209251404E-2,-1.221232891E0
1.043548584E0,4.842213154E0,1.324057579E-1,-8.822822571E-1
1.048492432E0,4.469336510E0,4.082612991E-1,-5.230212212E-1
1.053405762E0,3.969847679E0,4.693117142E-1,-5.689716339E-2
1.058319092E0,3.263893127E0,1.547775269E-1,2.500939369E-1
1.063262940E0,2.493001223E0,-4.346528053E-1,3.868126869E-1
1.068206787E0,1.889304519E0,-1.015169144E0,4.412498474E-1
1.073089600E0,1.400352001E0,-1.479687691E0,5.304064751E-1
1.078033448E0,1.029231071E0,-1.696408749E0,6.150650978E-1
1.082946778E0,8.145040274E-1,-1.620584488E0,6.875801086E-1
1.087860108E0,6.928082108E-1,-1.382059574E0,7.615485191E-1
1.092773438E0,6.189323664E-1,-1.153035641E0,8.738894463E-1
1.097717286E0,5.906777382E-1,-9.716086388E-1,8.546223640E-1
1.102630616E0,3.421179652E-1,-8.949813843E-1,9.972677231E-1
1.107513428E0,-4.106713831E-1,-7.145338058E-1,8.551874161E-1
1.112457276E0,-1.461537361E0,-1.787972450E-1,-2.105054855E-1
1.117401123E0,-1.774526834E0,-4.006338120E-1,4.821014404E-1
1.122314453E0,-1.676875830E0,-6.965894699E-1,1.993620872E0
1.127227784E0,-1.167780161E0,-9.834890366E-1,1.726630211E0
