"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.731933600E-1,3.323364258E-2,-1.304626465E-1,1.059722900E-1
2.756652830E-1,3.749084473E-2,-1.325988770E-1,1.027832031E-1
2.781066900E-1,3.643798828E-2,-1.272735596E-1,9.957885742E-2
2.805786140E-1,3.749084473E-2,-1.262054443E-1,9.213256836E-2
2.830200200E-1,3.749084473E-2,-1.230163574E-1,9.213256836E-2
2.854919440E-1,3.430175781E-2,-1.219482422E-1,8.467102051E-2
2.879638670E-1,3.216552734E-2,-1.187438965E-1,8.253479004E-2
2.904357910E-1,2.790832520E-2,-1.166229248E-1,8.041381836E-2
2.929077150E-1,1.725769043E-2,-1.134185791E-1,7.720947266E-2
2.953796390E-1,1.618957520E-2,-1.123657227E-1,7.508850098E-2
2.978210450E-1,1.618957520E-2,-1.102294922E-1,7.295227051E-2
3.002929690E-1,2.349853516E-3,-1.080932617E-1,7.081604004E-2
3.027648930E-1,-5.111694336E-3,-1.027679443E-1,6.869506836E-2
3.052062990E-1,-1.257324219E-2,-9.957885742E-2,6.336975098E-2
3.076782230E-1,-2.108764648E-2,-9.318542480E-2,6.230163574E-2
3.101501470E-1,-2.748107910E-2,-8.998107910E-2,5.697631836E-2
3.125915530E-1,-3.494262695E-2,-8.679199219E-2,5.590820312E-2
3.150634770E-1,-4.452514648E-2,-7.827758789E-2,5.165100098E-2
3.175048830E-1,-5.091857910E-2,-6.867980957E-2,4.739379883E-2
3.199768070E-1,-5.944824219E-2,-6.228637695E-2,4.312133789E-2
3.224487310E-1,-6.796264648E-2,-6.016540527E-2,3.672790527E-2
3.248901370E-1,-7.435607910E-2,-4.844665527E-2,3.567504883E-2
3.273620610E-1,-8.500671387E-2,-3.991699219E-2,3.247070312E-2
3.298339850E-1,-8.926391602E-2,-3.352355957E-2,3.247070312E-2
3.322753910E-1,-9.140014648E-2,-2.714538574E-2,3.140258789E-2
3.347473150E-1,-9.353637695E-2,-2.500915527E-2,3.353881836E-2
3.372192390E-1,-9.458923340E-2,-2.287292480E-2,3.567504883E-2
3.396606450E-1,-9.565734863E-2,-2.075195312E-2,3.247070312E-2
3.421325690E-1,-9.886169434E-2,-1.754760742E-2,3.672790527E-2
3.446044920E-1,-9.991455078E-2,-1.542663574E-2,3.567504883E-2
3.470458990E-1,-9.565734863E-2,-1.754760742E-2,3.672790527E-2
3.495178220E-1,-9.565734863E-2,-2.180480957E-2,4.100036621E-2
3.519592290E-1,-9.458923340E-2,-2.180480957E-2,3.993225098E-2
3.544311530E-1,-9.033203125E-2,-2.500915527E-2,4.100036621E-2
3.569030760E-1,-8.819580078E-2,-3.140258789E-2,4.205322266E-2
3.593750000E-1,-8.181762695E-2,-3.672790527E-2,4.205322266E-2
3.618164060E-1,-7.328796387E-2,-4.098510742E-2,4.100036621E-2
3.642883300E-1,-7.221984863E-2,-4.631042480E-2,3.886413574E-2
3.667297370E-1,-6.156921387E-2,-4.737854004E-2,3.779602051E-2
3.692016600E-1,-4.985046387E-2,-5.270385742E-2,3.353881836E-2
3.716735840E-1,-4.559326172E-2,-6.016540527E-2,3.034973145E-2
3.741149900E-1,-3.387451172E-2,-6.442260742E-2,2.607727051E-2
3.765869140E-1,-2.429199219E-2,-5.802917480E-2,2.395629883E-2
3.790588380E-1,-1.576232910E-2,-6.016540527E-2,1.756286621E-2
3.815002440E-1,-6.179809570E-3,-6.974792480E-2,1.223754883E-2
3.839721680E-1,6.607055664E-3,-6.974792480E-2,3.707885742E-3
3.864135740E-1,1.725769043E-2,-6.442260742E-2,-5.493164062E-4
3.888854980E-1,2.790832520E-2,-5.909729004E-2,-8.010864258E-3
3.913574220E-1,4.069519043E-2,-5.163574219E-2,-1.119995117E-2
3.937988280E-1,5.134582520E-2,-4.737854004E-2,-1.545715332E-2
3.962707520E-1,6.413269043E-2,-3.884887695E-2,-2.079772949E-2
3.987426760E-1,7.585144043E-2,-2.926635742E-2,-2.079772949E-2
4.011840820E-1,8.862304688E-2,-1.435852051E-2,-2.505493164E-2
4.036560060E-1,9.928894043E-2,-2.639770508E-3,-2.931213379E-2
4.061279300E-1,1.120605469E-1,8.010864258E-3,-2.931213379E-2
4.085693360E-1,1.248474121E-1,1.547241211E-2,-2.931213379E-2
4.110412600E-1,1.333770752E-1,2.825927734E-2,-3.356933594E-2
4.134826660E-1,1.440277100E-1,3.465270996E-2,-3.356933594E-2
4.159545900E-1,1.493530273E-1,4.530334473E-2,-3.250122070E-2
4.184265140E-1,1.557464600E-1,5.595397949E-2,-3.463745117E-2
4.208679200E-1,1.631927490E-1,6.021118164E-2,-3.038024902E-2
4.233398440E-1,1.685180664E-1,7.086181641E-2,-2.612304688E-2
4.258117680E-1,1.759796143E-1,8.258056641E-2,-2.398681641E-2
4.282531740E-1,1.834411621E-1,9.217834473E-2,-2.291870117E-2
4.307250980E-1,1.898345947E-1,1.102752686E-1,-1.652526855E-2
4.331970220E-1,1.951599121E-1,1.347808838E-1,-9.078979492E-3
4.356384280E-1,2.047424316E-1,1.667327881E-1,-5.874633789E-3
4.381103520E-1,2.132720947E-1,2.008361816E-1,-1.617431641E-3
4.405822760E-1,2.260437012E-1,2.359771729E-1,4.776000977E-3
4.430236820E-1,2.377624512E-1,2.700653076E-1,1.223754883E-2
4.454956060E-1,2.484130859E-1,2.988281250E-1,2.182006836E-2
4.479370120E-1,2.558746338E-1,3.244018555E-1,2.607727051E-2
4.504089360E-1,2.665252686E-1,3.563537598E-1,3.140258789E-2
4.528808600E-1,2.750549316E-1,3.872528076E-1,3.993225098E-2
4.553222660E-1,2.814483643E-1,4.181365967E-1,4.100036621E-2
4.577941900E-1,2.920989990E-1,4.447784424E-1,4.205322266E-2
4.602661140E-1,2.920989990E-1,4.745941162E-1,4.632568359E-2
4.627380370E-1,2.920989990E-1,5.012359619E-1,4.418945312E-2
4.651794440E-1,2.942199707E-1,5.267944336E-1,4.205322266E-2
4.676513670E-1,2.878417969E-1,5.459747314E-1,3.886413574E-2
4.700927740E-1,2.803802490E-1,5.640869141E-1,3.353881836E-2
4.725646970E-1,2.686614990E-1,5.779266357E-1,2.607727051E-2
4.750366210E-1,2.590789795E-1,5.896453857E-1,1.968383789E-2
4.774780280E-1,2.494812012E-1,5.939178467E-1,1.542663574E-2
4.799499510E-1,2.335052490E-1,5.949707031E-1,5.844116211E-3
4.823913580E-1,2.175292969E-1,5.821990967E-1,-1.617431641E-3
4.848632810E-1,1.962280273E-1,5.640869141E-1,-9.078979492E-3
4.873352050E-1,1.781158447E-1,5.427856445E-1,-1.759338379E-2
4.897766120E-1,1.557464600E-1,5.214691162E-1,-3.038024902E-2
4.922485350E-1,1.376342773E-1,5.001678467E-1,-4.209899902E-2
4.947204590E-1,1.163330078E-1,4.799346924E-1,-5.061340332E-2
4.971923830E-1,9.608459473E-2,4.511718750E-1,-6.233215332E-2
4.996337890E-1,7.691955566E-2,4.149475098E-1,-7.298278809E-2
5.021057130E-1,5.773925781E-2,3.819274902E-1,-7.725524902E-2
5.045471190E-1,4.495239258E-2,3.478393555E-1,-8.151245117E-2
5.070190430E-1,3.004455566E-2,3.137512207E-1,-8.683776855E-2
5.094909670E-1,2.258300781E-2,2.849884033E-1,-8.683776855E-2
5.119323730E-1,2.258300781E-2,2.658081055E-1,-8.683776855E-2
5.144042970E-1,2.471923828E-2,2.583465576E-1,-8.363342285E-2
5.168457030E-1,3.430175781E-2,2.658081055E-1,-8.044433594E-2
5.193176270E-1,4.283142090E-2,2.764587402E-1,-7.405090332E-2
5.217895510E-1,5.560302734E-2,2.871093750E-1,-6.446838379E-2
5.242309570E-1,6.625366211E-2,2.988281250E-1,-5.700683594E-2
5.267028810E-1,8.224487305E-2,3.073577881E-1,-4.635620117E-2
5.291748050E-1,1.003417969E-1,3.211975098E-1,-2.824401855E-2
5.316162110E-1,1.184539795E-1,3.393096924E-1,-1.440429688E-2
5.340881350E-1,1.376342773E-1,3.595581055E-1,5.187988281E-4
5.365600590E-1,1.589355469E-1,3.861846924E-1,1.223754883E-2
5.390319830E-1,1.781158447E-1,4.032287598E-1,1.010131836E-2
5.414733890E-1,1.951599121E-1,4.266662598E-1,4.776000977E-3
5.439453130E-1,2.100677490E-1,4.532928467E-1,-5.493164062E-4
5.463867190E-1,2.196655273E-1,4.895172119E-1,5.844116211E-3
5.488586430E-1,2.143249512E-1,5.342559814E-1,2.395629883E-2
5.513000490E-1,2.100677490E-1,5.768737793E-1,4.632568359E-2
5.537719730E-1,2.047424316E-1,6.045684814E-1,6.655883789E-2
5.562438970E-1,2.036743164E-1,6.205444336E-1,8.467102051E-2
5.586853030E-1,2.100677490E-1,6.205444336E-1,9.532165527E-2
5.611572270E-1,2.217864990E-1,6.056365967E-1,9.318542480E-2
5.636291510E-1,2.367095947E-1,5.811309814E-1,8.892822266E-2
5.660705570E-1,2.548065186E-1,5.587615967E-1,8.573913574E-2
5.685424810E-1,2.633361816E-1,5.438385010E-1,7.508850098E-2
5.710144050E-1,2.644042969E-1,5.299987793E-1,7.188415527E-2
5.734863280E-1,2.644042969E-1,5.214691162E-1,7.614135742E-2
5.759582520E-1,2.622680664E-1,5.172119141E-1,7.827758789E-2
5.784301760E-1,2.452239990E-1,5.182800293E-1,8.041381836E-2
5.808715820E-1,2.324371338E-1,5.214691162E-1,9.106445312E-2
