"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.209249470E-1,5.342864990E-1,5.669616699E0,7.128845215E0
4.233663540E-1,5.510559082E-1,5.682785034E0,7.114486694E0
4.258382770E-1,5.702056885E-1,5.700744629E0,7.114486694E0
4.282796840E-1,5.953369141E-1,5.747436523E0,7.097732544E0
4.307516070E-1,5.666046143E-1,5.723495483E0,7.091735840E0
4.332235310E-1,5.881652832E-1,5.741455078E0,7.055831909E0
4.356649380E-1,5.666046143E-1,5.691177368E0,7.163558960E0
4.381368610E-1,5.953369141E-1,5.776168823E0,7.221023560E0
4.406087850E-1,6.192779541E-1,5.795318604E0,7.199478149E0
4.430501910E-1,5.570373535E-1,5.782150269E0,7.283279419E0
4.455221150E-1,5.737915039E-1,5.789337158E0,7.331161499E0
4.479940390E-1,5.857696533E-1,5.819259644E0,7.328765869E0
4.504354450E-1,5.546417236E-1,5.876724243E0,7.392211914E0
4.529073690E-1,5.989379883E-1,5.879119873E0,7.430526733E0
4.553792930E-1,5.977325439E-1,5.870742798E0,7.522689819E0
4.578206990E-1,6.109008789E-1,5.858764648E0,7.520294189E0
4.602926230E-1,6.288604736E-1,5.871932983E0,7.577758789E0
4.627340290E-1,6.468200684E-1,5.909042358E0,7.623245239E0
4.652059530E-1,6.695556641E-1,5.893478394E0,7.653182983E0
4.676778770E-1,7.054748535E-1,5.879119873E0,7.683105469E0
4.701498010E-1,6.731567383E-1,5.887496948E0,7.781265259E0
4.725912070E-1,6.899108887E-1,5.924606323E0,7.781265259E0
4.750631310E-1,6.827239990E-1,5.928192139E0,7.804016113E0
4.775045370E-1,6.875152588E-1,5.877914429E0,7.865066528E0
4.799764610E-1,6.647796631E-1,5.869537354E0,7.926116943E0
4.824483850E-1,6.528015137E-1,5.816864014E0,7.923721313E0
4.848897910E-1,7.090606689E-1,5.857574463E0,7.924926758E0
4.873617150E-1,7.150573730E-1,5.874328613E0,7.917739868E0
4.898336390E-1,6.851196289E-1,5.874328613E0,7.932098389E0
4.922750450E-1,6.791381836E-1,5.840805054E0,7.914154053E0
4.947469690E-1,6.899108887E-1,5.800109863E0,7.915344238E0
4.971883750E-1,6.192779541E-1,5.832427979E0,7.920135498E0
4.996602990E-1,6.456146240E-1,5.790527344E0,7.916549683E0
5.021322230E-1,6.432189941E-1,5.760604858E0,7.893798828E0
5.045736290E-1,5.654144287E-1,5.789337158E0,7.887817383E0
5.070455530E-1,6.132965088E-1,5.730682373E0,7.848312378E0
5.095174770E-1,6.073150635E-1,5.759399414E0,7.891403198E0
5.119588830E-1,6.025238037E-1,5.754623413E0,7.900985718E0
5.144308070E-1,6.109008789E-1,5.783340454E0,7.877044678E0
5.169027310E-1,6.312561035E-1,5.797714233E0,7.894989014E0
5.193441370E-1,5.618286133E-1,5.755813599E0,7.839920044E0
5.218160610E-1,5.522460938E-1,5.751022339E0,7.863876343E0
